tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,belum/tidakbekerja,mengurus_rumah_tangga,pelajar/mahasiswa,pensiunan,pegawai_negeri_sipil,tentara_nasional_indonesia,kepolisian_ri,perdagangan,petani_pekebun,peternak,nelayan/perikanan,industri,konstruksi,transportasi,karyawan_swasta,karyawan_bumn,karyawan_bumd,karyawan_honorer,buruh_harian_lepas,buruh_tani_perkebunan,buruh_nelayan_perikanan,buruh_peternakan,pembantu_rumah_tangga,tukang_cukur,tukang_listrik,tukang_batu,tukang_kayu,tukang_sol_sepatu,tukang_las_pandai_besi,tukang_jahit,tukang_gigi,penata_rias,penata_busana,penata_rambut,mekanik,seniman,tabib,paraji,perancang_busana,penterjemah,imam_mesjid,pendeta,pastor,wartawan,ustadz_mubaligh,juru_masak,promotor_acara,anggota_dpr_ri,anggota_dpd,anggota_bpk,presiden,wakil_presiden,anggota_mahkamah_konstitusi,anggota_kabinet_kementerian,duta_besar,gubernur,wakil_gubernur,bupati,wakil_bupati,walikota,wakil_walikota,anggota_dprd_provinsi,anggota_dprd_kabupaten_kota,dosen,guru,pilot,pengacara,notaris,arsitek,akuntan,konsultan,dokter,bidan,perawat,apoteker,psikiater_psikolog,penyiar_televisi,penyiar_radio,pelaut,peneliti,sopir,pialang,paranormal,pedagang,perangkat_desa,kepala_desa,biarawati,wiraswasta,lainnya,hakim
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,535,764,1017,71,55,1,8,0,1,0,0,2,0,1,1116,32,2,8,21,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,6,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,50,0,6,0,1,0,3,22,1,2,2,0,0,0,1,1,7,0,0,35,0,0,0,387,17,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,787,1168,1690,137,118,9,4,0,0,0,0,0,0,0,2200,48,1,2,12,2,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,2,0,11,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,41,1,12,5,5,0,1,58,3,1,0,1,0,0,0,0,5,0,0,84,0,0,0,497,41,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,2004,2441,3092,239,143,8,18,1,2,0,0,2,2,0,4347,68,6,7,175,2,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,5,0,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,31,74,3,6,2,7,0,5,39,1,1,1,1,0,0,1,1,100,0,0,107,0,0,0,632,73,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,6603,7856,10397,685,658,73,75,3,0,0,0,9,7,5,14253,147,3,5,392,0,0,0,9,0,0,1,0,0,0,6,0,0,1,0,1,25,0,0,1,1,0,5,0,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,352,2,20,6,5,0,10,90,7,15,3,0,0,1,5,0,73,0,0,155,0,0,0,2821,287,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,6474,6773,8344,337,431,19,62,1,2,0,2,3,2,0,11567,68,4,9,878,2,0,0,7,5,0,1,1,2,1,19,1,1,0,0,34,16,0,0,1,0,0,3,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,310,2,14,5,2,1,7,80,5,12,4,1,0,0,2,1,216,1,0,854,1,0,0,1157,111,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,3535,3871,4914,220,276,98,20,1,1,0,0,4,3,2,5527,61,1,6,245,0,0,0,4,0,1,0,0,0,0,4,0,1,0,0,1,9,0,0,0,1,0,1,0,15,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,323,2,10,3,0,0,1,43,3,7,0,0,0,0,1,0,43,0,0,188,0,0,0,1390,65,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,7918,8903,11091,620,555,179,63,0,0,0,2,6,6,5,11823,153,5,19,466,0,0,0,11,0,0,0,0,0,0,20,0,0,0,0,6,14,1,0,0,0,0,6,0,25,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,502,16,19,8,11,0,13,101,14,29,1,3,0,0,6,1,146,0,0,176,0,0,0,3907,153,2
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWA JATI,3074,3444,4616,393,448,80,19,3,1,0,0,6,14,7,5822,139,0,23,140,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,31,2,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,149,3,11,3,1,1,6,73,3,17,2,1,0,0,4,1,68,0,1,35,0,0,0,1293,220,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,5147,5878,7136,446,367,21,70,1,0,0,1,4,1,3,8832,154,2,23,693,0,0,0,12,0,0,0,1,0,0,4,0,1,0,0,8,23,0,0,1,0,1,11,0,21,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,271,8,17,9,6,1,13,114,4,12,1,0,0,0,3,1,117,0,2,406,0,0,0,1888,116,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,3731,4209,4968,373,376,32,129,1,3,0,1,2,2,1,6551,72,4,24,350,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,0,6,0,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,210,2,10,5,1,0,4,74,7,16,0,0,1,0,6,0,93,0,0,209,0,0,0,1013,94,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,1990,2100,2742,129,224,17,75,2,0,0,0,2,9,1,3926,39,3,3,90,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,0,0,4,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,123,0,2,0,1,1,1,28,0,11,0,0,0,0,1,1,19,0,0,142,0,0,0,575,74,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,10652,12083,15385,679,1190,145,102,3,68,0,1,10,9,13,14329,182,4,32,1003,2,0,0,10,0,0,0,0,0,0,11,0,0,0,0,14,17,0,0,0,0,0,6,2,39,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,647,5,19,4,6,0,7,104,31,36,4,0,0,0,7,2,226,0,1,377,0,0,0,4759,246,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,10580,11518,14710,969,1253,1598,139,0,21,0,0,3,5,9,14336,176,3,42,1057,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,7,16,0,0,0,0,0,5,9,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105,872,0,13,2,2,0,7,56,40,89,2,2,0,1,6,2,179,0,0,244,0,0,9,2982,213,0
